fec_company,list_id,cid_master,found_fec,rank,ticker,ticker_alt,cusip,revenue,website
USAA,f1000_101,USAA,TRUE,114,,,,24361,www.usaa.com
Andeavor,f1000_116,Andeavor,TRUE,,,,8816092*1,,
Verizon Communications,f1000_13,Verizon Communications,TRUE,,VZ,,92343V104,,
Jabil,f1000_151,Jabil,TRUE,,JBL,,466313103,,
Walgreens Boots Alliance,f1000_16,Walgreens Boots Alliance,TRUE,,WBA,WAG,931427108,,
Bank of New York Mellon,f1000_176,Bank of New York Mellon,TRUE,,BK,,64058100,,
Synchrony Financial,f1000_184,Synchrony Financial,TRUE,,SYF,,87165B103,,
Conagra Brands,f1000_196,Conagra Brands,TRUE,,CAG,,205887102,,
Farmers Insurance Exchange,f1000_221,Farmers Insurance Exchange,TRUE,227,,,,12626,www.farmers.com
Principal Financial,f1000_226,Principal Financial,TRUE,,PFG,,74251UAA2,,
Dominion Energy,f1000_237,Dominion Energy,TRUE,,D,,25746U109,,
Toys 'R' Us,f1000_243,Toys 'R' Us,TRUE,,,,,,
Mastercard,f1000_266,Mastercard,TRUE,,MA,,57636Q104,,
L3 Technologies,f1000_272,L3 Technologies,TRUE,,LLL,,502413107,,
Alcoa,f1000_299,Alcoa,TRUE,,AA,,13817101,,
Pacific Life,f1000_301,Pacific Life,TRUE,326,,,,8642,www.pacificlife.com
American Family Insurance Group,f1000_314,American Family Insurance Group,TRUE,332,,,,8286,www.amfam.com
Thrivent Financial for Lutherans,f1000_315,Thrivent Financial for Lutherans,TRUE,318,,,,8789,www.thrivent.com
Peter Kiewit Sons',f1000_323,Peter Kiewit Sons',TRUE,314,,,,8992,www.kiewit.com
Mutual of Omaha Insurance,f1000_341,Mutual of Omaha Insurance,TRUE,367,,,,7236,www.mutualofomaha.com
Harris,f1000_362,Harris,TRUE,,HRS,,413875105,,
Leidos Holdings,f1000_380,Leidos Holdings,TRUE,,LDOS,,525327102,,
Tesla,f1000_382,Tesla,TRUE,,,,,,
Ascena Retail Group,f1000_383,Ascena Retail Group,TRUE,,ASNA,,04351G101,,
Nvidia,f1000_386,Nvidia,TRUE,,NVDA,,67066G104,,
Auto-Owners Insurance,f1000_397,Auto-Owners Insurance,TRUE,398,,,,6517,www.auto-owners.com
Dell Technologies,f1000_40,Dell Technologies,TRUE,,DELL,,24702R101,,
Albertsons Cos.,f1000_48,Albertsons Cos.,TRUE,,,,,,
Hewlett Packard Enterprise,f1000_58,Hewlett Packard Enterprise,TRUE,,HPQ,,40434L105,,
New York Life Insurance,f1000_64,New York Life Insurance,TRUE,61,,,,45891,www.newyorklife.com
Nationwide,f1000_67,Nationwide,TRUE,69,,,,40222,www.nationwide.com
Liberty Mutual Insurance Group,f1000_74,Liberty Mutual Insurance Group,TRUE,73,,,,39450,www.libertymutual.com
Massachusetts Mutual Life Insurance,f1000_76,Massachusetts Mutual Life Insurance,TRUE,76,,,,38243,www.massmutual.com
TIAA,f1000_79,TIAA,TRUE,82,,,,35181,www.tiaa.org
Publix Super Markets,f1000_84,Publix Super Markets,TRUE,87,,,,32619,www.publix.com
Northwestern Mutual,f1000_96,Northwestern Mutual,TRUE,100,,,,28111,www.northwesternmutual.com
