list_id,fec_company,cid_master,iss_id,ticker,ticker_alt,cusip,found_fec,search_ticker
f1000_0,Walmart,Walmart,162025.0,WMT,,931142103,True,False
f1000_01,Berkshire Hathaway,Berkshire Hathaway,15501.0,BRK.B,,084670702,True,False
f1000_1,Berkshire Hathaway,Berkshire Hathaway,15501.0,BRK.B,,084670702,True,False
f1000_10,AmerisourceBergen,AmerisourceBergen,528565.0,ABC,,,True,False
f1000_10,AmerisourceBergen,AmerisourceBergen,528565.0,ABC,,03073E105,True,False
f1000_100,Twenty-First Century Fox,Twenty-First Century Fox,109048.0,FOXA,,90130A101,True,False
f1000_102,World Fuel Services,World Fuel Services,168727.0,INT,,981475106,True,False
f1000_103,Philip Morris International,Philip Morris International,584623.0,PM,,718172109,True,False
f1000_104,Deere,Deere,41398.0,DE,,244199105,True,False
f1000_105,Kraft Heinz,Kraft Heinz,618913.0,KHC,,500754106,True,False
f1000_106,Tech Data,Tech Data,150682.0,TECD,,878237106,True,False
f1000_107,Avnet,Avnet,10665.0,AVT,,053807103,True,False
f1000_109,Macy's,Macy's,52793.0,M,,314099102,True,False
f1000_109,Macy's,Macy's,52793.0,M,,55616P104,True,False
f1000_11,Amazon.com,Amazon.com,4525.0,AMZN,,023135106,True,False
f1000_110,AbbVie,AbbVie,620364.0,ABBV,,00287Y109,True,False
f1000_111,McDonald's,McDonald's,96478.0,MCD,,580135101,True,False
f1000_112,DuPont,DuPont,44672.0,DD,,263534109,True,False
f1000_113,Northrop Grumman,Northrop Grumman,111362.0,NOC,,666807102,True,False
f1000_114,ConocoPhillips,ConocoPhillips,535271.0,COP,,20825C104,True,False
f1000_114,ConocoPhillips,ConocoPhillips,535271.0,COP,,718507106,True,False
f1000_115,Raytheon,Raytheon,128654.0,RTN,,755111119,True,False
f1000_115,Raytheon,Raytheon,128654.0,RTN,,755111507,True,False
f1000_117,Arrow Electronics,Arrow Electronics,7355.0,ARW,,042735100,True,False
f1000_118,Qualcomm,Qualcomm,127063.0,QCOM,,747525103,True,False
f1000_119,Progressive,Progressive,125823.0,PGR,,743315103,True,False
f1000_12,General Electric,General Electric,61715.0,GE,,36959CAA6,True,False
f1000_12,General Electric,General Electric,61715.0,GE,,369604103,True,False
f1000_120,Duke Energy,Duke Energy,44805.0,DUK,,264399106,True,False
f1000_120,Duke Energy,Duke Energy,44805.0,DUK,,26441C105,True,False
f1000_120,Duke Energy,Duke Energy,44805.0,DUK,,26441C204,True,False
f1000_121,Enterprise Products Partners,Enterprise Products Partners,,EPD,,,True,False
f1000_122,Amgen,Amgen,6437.0,AMGN,,031162100,True,False
f1000_124,U.S. Bancorp,U.S. Bancorp,156067.0,USB,,902973106,True,False
f1000_124,U.S. Bancorp,U.S. Bancorp,156067.0,USB,,902973304,True,False
f1000_125,Aflac,Aflac,282.0,AFL,,001055102,True,False
f1000_126,Sears Holdings,Sears Holdings,541755.0,SHLD,,812350106,True,False
f1000_127,Dollar General,Dollar General,43620.0,DG,,256677105,True,False
f1000_128,AutoNation,AutoNation,514379.0,AN,,05329R103,True,False
f1000_128,AutoNation,AutoNation,514379.0,AN,,05329W102,True,False
f1000_129,Community Health Systems,Community Health Systems,34116.0,CYH,,203666AA0,True,False
f1000_129,Community Health Systems,Community Health Systems,34116.0,CYH,,203668108,True,False
f1000_130,Starbucks,Starbucks,146082.0,SBUX,,855244109,True,False
f1000_130,Starbucks,Starbucks,146082.0,SBUX,,855244208,True,False
f1000_131,Eli Lilly,Eli Lilly,88891.0,LLY,,532457108,True,False
f1000_133,Tenet Healthcare,Tenet Healthcare,151418.0,THC,,636886202,True,False
