fec_company,list_id
Walmart,f1000_0
Berkshire Hathaway,f1000_1
Apple,f1000_2
Exxon Mobil,f1000_3
McKesson,f1000_4
UnitedHealth Group,f1000_5
CVS Health,f1000_6
General Motors,f1000_7
AT&T,f1000_8
Ford Motor,f1000_9
AmerisourceBergen,f1000_10
Amazon.com,f1000_11
General Electric,f1000_12
Verizon Communications,f1000_13
Cardinal Health,f1000_14
Costco,f1000_15
Walgreens Boots Alliance,f1000_16
Kroger,f1000_17
Chevron,f1000_18
Fannie Mae,f1000_19
J.P. Morgan Chase,f1000_20
Express Scripts Holding,f1000_21
Home Depot,f1000_22
Boeing,f1000_23
Wells Fargo,f1000_24
Bank of America Corp.,f1000_25
Alphabet,f1000_26
Microsoft,f1000_27
Anthem,f1000_28
Citigroup,f1000_29
Comcast,f1000_30
IBM,f1000_31
State Farm Insurance Cos.,f1000_32
Phillips 66,f1000_33
Johnson & Johnson,f1000_34
Procter & Gamble,f1000_35
Valero Energy,f1000_36
Target,f1000_37
Freddie Mac,f1000_38
Lowe's,f1000_39
Dell Technologies,f1000_40
MetLife,f1000_41
Aetna,f1000_42
PepsiCo,f1000_43
Archer Daniels Midland,f1000_44
UPS,f1000_45
Intel,f1000_46
Prudential Financial,f1000_47
Albertsons Cos.,f1000_48
United Technologies,f1000_49
Marathon Petroleum,f1000_50
Disney,f1000_51
Humana,f1000_52
Pfizer,f1000_53
AIG,f1000_54
Lockheed Martin,f1000_55
Sysco,f1000_56
FedEx,f1000_57
Hewlett Packard Enterprise,f1000_58
Cisco Systems,f1000_59
HP,f1000_60
Dow Chemical,f1000_61
HCA Holdings,f1000_62
Coca-Cola,f1000_63
New York Life Insurance,f1000_64
Centene,f1000_65
American Airlines Group,f1000_66
Nationwide,f1000_67
Merck,f1000_68
Cigna,f1000_69
Delta Air Lines,f1000_70
Best Buy,f1000_71
Honeywell International,f1000_72
Caterpillar,f1000_73
Liberty Mutual Insurance Group,f1000_74
Morgan Stanley,f1000_75
Massachusetts Mutual Life Insurance,f1000_76
Goldman Sachs Group,f1000_77
Energy Transfer Equity,f1000_78
TIAA,f1000_79
Oracle,f1000_80
Tyson Foods,f1000_81
United Continental Holdings,f1000_82
Allstate,f1000_83
Publix Super Markets,f1000_84
American Express,f1000_85
TJX,f1000_86
Nike,f1000_87
Exelon,f1000_88
General Dynamics,f1000_89
Rite Aid,f1000_90
Gilead Sciences,f1000_91
CHS,f1000_92
3M,f1000_93
Time Warner,f1000_94
Charter Communications,f1000_95
Northwestern Mutual,f1000_96
Facebook,f1000_97
Travelers Cos.,f1000_98
Capital One Financial,f1000_99
Twenty-First Century Fox,f1000_100
USAA,f1000_101
World Fuel Services,f1000_102
Philip Morris International,f1000_103
Deere,f1000_104
Kraft Heinz,f1000_105
Tech Data,f1000_106
Avnet,f1000_107
Mondelez International,f1000_108
Macy's,f1000_109
AbbVie,f1000_110
McDonald's,f1000_111
DuPont,f1000_112
Northrop Grumman,f1000_113
ConocoPhillips,f1000_114
Raytheon,f1000_115
Andeavor,f1000_116
Arrow Electronics,f1000_117
Qualcomm,f1000_118
Progressive,f1000_119
Duke Energy,f1000_120
Enterprise Products Partners,f1000_121
Amgen,f1000_122
US Foods Holding,f1000_123
U.S. Bancorp,f1000_124
Aflac,f1000_125
Sears Holdings,f1000_126
Dollar General,f1000_127
AutoNation,f1000_128
Community Health Systems,f1000_129
Starbucks,f1000_130
Eli Lilly,f1000_131
International Paper,f1000_132
Tenet Healthcare,f1000_133
Abbott Laboratories,f1000_134
Dollar Tree,f1000_135
Whirlpool,f1000_136
Southwest Airlines,f1000_137
Emerson Electric,f1000_138
Staples,f1000_139
Plains GP Holdings,f1000_140
Penske Automotive Group,f1000_141
Union Pacific,f1000_142
Danaher,f1000_143
Southern,f1000_144
ManpowerGroup,f1000_145
Bristol-Myers Squibb,f1000_146
Altria Group,f1000_147
Fluor,f1000_148
Kohl's,f1000_149
Lear,f1000_150
Jabil,f1000_151
Hartford Financial Services Group,f1000_152
Thermo Fisher Scientific,f1000_153
Kimberly-Clark,f1000_154
Molina Healthcare,f1000_155
PG&E Corp.,f1000_156
Supervalu,f1000_157
Cummins,f1000_158
CenturyLink,f1000_159
AECOM,f1000_160
Xerox,f1000_161
Marriott International,f1000_162
Paccar,f1000_163
General Mills,f1000_164
PNC Financial Services Group,f1000_165
American Electric Power,f1000_166
Icahn Enterprises,f1000_167
Nucor,f1000_168
NextEra Energy,f1000_169
Performance Food Group,f1000_170
PBF Energy,f1000_171
Halliburton,f1000_172
CarMax,f1000_173
Freeport-McMoRan,f1000_174
Whole Foods Market,f1000_175
Bank of New York Mellon,f1000_176
Gap,f1000_177
Omnicom Group,f1000_178
Genuine Parts,f1000_179
DaVita,f1000_180
Colgate-Palmolive,f1000_181
PPG Industries,f1000_182
Goodyear Tire & Rubber,f1000_183
Synchrony Financial,f1000_184
DISH Network,f1000_185
Visa,f1000_186
Nordstrom,f1000_187
INTL FCStone,f1000_188
WestRock,f1000_189
XPO Logistics,f1000_190
Aramark,f1000_191
CBS,f1000_192
AES,f1000_193
WellCare Health Plans,f1000_194
FirstEnergy,f1000_195
Conagra Brands,f1000_196
Synnex,f1000_197
CDW,f1000_198
Textron,f1000_199
Waste Management,f1000_200
Illinois Tool Works,f1000_201
Office Depot,f1000_202
Monsanto,f1000_203
Cognizant Technology Solutions,f1000_204
Texas Instruments,f1000_205
Lincoln National,f1000_206
Newell Brands,f1000_207
Land O'Lakes,f1000_208
Marsh & McLennan,f1000_209
Ecolab,f1000_210
C.H. Robinson Worldwide,f1000_211
Loews,f1000_212
CBRE Group,f1000_213
Kinder Morgan,f1000_214
Kellogg,f1000_215
Western Digital,f1000_216
Guardian Life Ins. Co. of America,f1000_217
Ross Stores,f1000_218
L Brands,f1000_219
J.C. Penney,f1000_220
Farmers Insurance Exchange,f1000_221
Reynolds American,f1000_222
Viacom,f1000_223
Becton Dickinson,f1000_224
Micron Technology,f1000_225
Principal Financial,f1000_226
Arconic,f1000_227
NRG Energy,f1000_228
VF,f1000_229
Devon Energy,f1000_230
D.R. Horton,f1000_231
Bed Bath & Beyond,f1000_232
Consolidated Edison,f1000_233
Edison International,f1000_234
Sherwin-Williams,f1000_235
NGL Energy Partners,f1000_236
Dominion Energy,f1000_237
Ameriprise Financial,f1000_238
ADP,f1000_239
Hilton Worldwide Holdings,f1000_240
First Data,f1000_241
Henry Schein,f1000_242
Toys 'R' Us,f1000_243
BB&T Corp.,f1000_244
Reinsurance Group of America,f1000_245
Core-Mark Holding,f1000_246
Biogen,f1000_247
Las Vegas Sands,f1000_248
Stanley Black & Decker,f1000_249
Parker-Hannifin,f1000_250
Stryker,f1000_251
Estee Lauder,f1000_252
Celgene,f1000_253
BlackRock,f1000_254
Xcel Energy,f1000_255
CSX,f1000_256
Unum Group,f1000_257
Jacobs Engineering Group,f1000_258
Lennar,f1000_259
Group 1 Automotive,f1000_260
Leucadia National,f1000_261
Entergy,f1000_262
PayPal Holdings,f1000_263
Applied Materials,f1000_264
Voya Financial,f1000_265
Mastercard,f1000_266
Priceline Group,f1000_267
Liberty Interactive,f1000_268
AutoZone,f1000_269
State Street Corp.,f1000_270
DTE Energy,f1000_271
L3 Technologies,f1000_272
HollyFrontier,f1000_273
Praxair,f1000_274
Universal Health Services,f1000_275
Discover Financial Services,f1000_276
Occidental Petroleum,f1000_277
United States Steel,f1000_278
Sempra Energy,f1000_279
Baxter International,f1000_280
W.W. Grainger,f1000_281
Autoliv,f1000_282
Norfolk Southern,f1000_283
Baker Hughes,f1000_284
Ally Financial,f1000_285
Sonic Automotive,f1000_286
Owens & Minor,f1000_287
Huntsman,f1000_288
Laboratory Corp. of America,f1000_289
Murphy USA,f1000_290
Advance Auto Parts,f1000_291
Fidelity National Financial,f1000_292
Air Products & Chemicals,f1000_293
Hormel Foods,f1000_294
Hertz Global Holdings,f1000_295
MGM Resorts International,f1000_296
Corning,f1000_297
Republic Services,f1000_298
Alcoa,f1000_299
Fidelity National Information Services,f1000_300
Pacific Life,f1000_301
SunTrust Banks,f1000_302
LKQ,f1000_303
BorgWarner,f1000_304
Ball,f1000_305
CST Brands,f1000_306
Public Service Enterprise Group,f1000_307
Eastman Chemical,f1000_308
eBay,f1000_309
Mohawk Industries,f1000_310
Oneok,f1000_311
Frontier Communications,f1000_312
Netflix,f1000_313
American Family Insurance Group,f1000_314
Thrivent Financial for Lutherans,f1000_315
Expedia,f1000_316
Lithia Motors,f1000_317
Avis Budget Group,f1000_318
Reliance Steel & Aluminum,f1000_319
GameStop,f1000_320
Tenneco,f1000_321
O'Reilly Automotive,f1000_322
Peter Kiewit Sons',f1000_323
United Natural Foods,f1000_324
salesforce.com,f1000_325
Boston Scientific,f1000_326
Newmont Mining,f1000_327
Genworth Financial,f1000_328
Live Nation Entertainment,f1000_329
Veritiv,f1000_330
News Corp.,f1000_331
Crown Holdings,f1000_332
Global Partners,f1000_333
PVH,f1000_334
Level 3 Communications,f1000_335
Navistar International,f1000_336
Univar,f1000_337
Campbell Soup,f1000_338
Dick's Sporting Goods,f1000_339
Weyerhaeuser,f1000_340
Mutual of Omaha Insurance,f1000_341
Chesapeake Energy,f1000_342
Anadarko Petroleum,f1000_343
Interpublic Group,f1000_344
J.M. Smucker,f1000_345
Steel Dynamics,f1000_346
Foot Locker,f1000_347
Western Refining,f1000_348
SpartanNash,f1000_349
Dean Foods,f1000_350
Zimmer Biomet Holdings,f1000_351
PulteGroup,f1000_352
W.R. Berkley,f1000_353
Quanta Services,f1000_354
EOG Resources,f1000_355
Charles Schwab,f1000_356
Eversource Energy,f1000_357
Anixter International,f1000_358
EMCOR Group,f1000_359
Assurant,f1000_360
CenterPoint Energy,f1000_361
Harris,f1000_362
HD Supply Holdings,f1000_363
PPL,f1000_364
Quest Diagnostics,f1000_365
Williams,f1000_366
WEC Energy Group,f1000_367
